case,crop_id,seed,k1_true,noise,method,status,k1_err,k1_signed,pos_rmse,pos_mae,pos_max,seam_true,seam_est,psnr,ssim,ncc,mse,coverage_fraction,distortion_psnr,distortion_ssim,distortion_ncc,distortion_mse,distortion_coverage_fraction,time_s,iterations
c2_s2026_k1_p0.0080_noise_10,2,2026,0.008,10,dcs_paper_style,ok,0.0030328578117666347,-0.0030328578117666347,5.811865258054231,3.2222222222222223,7.0,0.003110203194068209,0.0012929612568017073,40.41775699830594,0.9865056138667647,0.9944862162094945,390095.4705584379,0.9998752247968481,55.51990311838835,0.998811407435569,0.999829728544824,12049.146802254041,1.0,807.87,25
c2_s2027_k1_m0.0080_noise_10,2,2027,-0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.8257418583505538,1.0,2.0,0.00012915573854504388,0.001486538345222318,45.736810077066394,0.995309167896421,0.9983791223831419,114621.37126987624,0.9984831249812909,70.73893882331396,0.9999228261787214,0.9999948712595461,362.28697892860555,1.0,1770.8,25
c2_s2027_k1_m0.0080_noise_10,2,2027,-0.008,10,dcs_paper_style,ok,0.0027391599381706338,0.0027391599381706338,5.686240703077327,3.1666666666666665,7.0,0.0029703202024349597,0.0013415575741578028,38.85444242593769,0.984696799489945,0.9921000618477507,559116.5722137067,0.9953280537255832,56.02233835078099,0.9989209654609325,0.999848174931233,10732.793472321204,1.0,855.2,25
c2_s2027_k1_p0.0080_noise_10,2,2027,0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.855921454276674,1.0555555555555556,2.0,0.00011711716326259128,0.0014380440018364094,48.62157530967543,0.9955777243948045,0.9991653079310724,58991.45073033211,0.9998749369647763,71.15732668551723,0.9999304716371836,0.9999953432452382,329.01366727418423,1.0,1787.97,25
c2_s2027_k1_p0.0080_noise_10,2,2027,0.008,10,dcs_paper_style,ok,0.0030328578117666347,-0.0030328578117666347,5.811865258054231,3.2222222222222223,7.0,0.003110203194068209,0.0012929612568017073,40.41775699830594,0.9865056138667647,0.9944862162094945,390095.4705584379,0.9998752247968481,55.51990311838835,0.998811407435569,0.999829728544824,12049.146802254041,1.0,1563.65,25
c3_s2026_k1_m0.0080_noise_00,3,2026,-0.008,0,dcs_paper_joint_oracle,ok,0.0,0.0,1.855921454276674,1.0555555555555556,2.0,0.00011840179395862905,0.001435973087357759,44.73212147351032,0.9932860626593558,0.9979424572868302,144455.62584806222,0.9984831249812909,70.82369705440824,0.9999372508482451,0.9999949387859801,355.2850245128586,1.0,1908.76,25
c3_s2026_k1_m0.0080_noise_00,3,2026,-0.008,0,dcs_paper_style,ok,0.002730376224697271,0.002730376224697271,5.811865258054231,3.2222222222222223,7.0,0.003160577201672847,0.0013837137038210739,37.606250509868346,0.9787765581090275,0.9893981487087381,745283.586062655,0.9952032785224313,51.4061023650363,0.9979202341835114,0.9995588198288252,31069.650720925794,1.0,2308.74,25
c3_s2026_k1_m0.0080_noise_10,3,2026,-0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.855921454276674,1.0555555555555556,2.0,0.00011840179395862905,0.001435973087357759,44.73212147351032,0.9932860626593558,0.9979424572868302,144455.62584806222,0.9984831249812909,70.82369705440824,0.9999372508482451,0.9999949387859801,355.2850245128586,1.0,2004.36,25
c3_s2026_k1_m0.0080_noise_10,3,2026,-0.008,10,dcs_paper_style,ok,0.002730376224697271,0.002730376224697271,5.811865258054231,3.2222222222222223,7.0,0.003160577201672847,0.0013837137038210739,37.606250509868346,0.9787765581090275,0.9893981487087381,745283.586062655,0.9952032785224313,51.4061023650363,0.9979202341835114,0.9995588198288252,31069.650720925794,1.0,2107.2,25
c3_s2026_k1_p0.0080_noise_00,3,2026,0.008,0,dcs_paper_joint_oracle,ok,0.0,0.0,1.8257418583505538,1.0,2.0,0.00010803785091558323,0.001506290032225601,47.76851237578714,0.9939994944413993,0.9989776025414331,71795.19343608675,1.0,71.24984424361185,0.9999437709236922,0.9999954185777474,322.0788324192746,1.0,1912.8,25
