comparison,k1_true,k2_true,noise,metric,n,median,ci_low,ci_high
paper-style no-pre - sequential no-pre,0.008,0.0,0,ssim,4,-0.017590605412520388,-0.021975157655609978,-0.01341869693081199
paper-style no-pre - sequential no-pre,0.008,0.0,0,ncc,4,-0.012476659420373959,-0.018607270006198884,-0.009185093614703321
paper-style no-pre - sequential no-pre,0.008,0.0,0,mse,4,719278.3348344911,649793.9846538523,1211991.9293380487
paper-style no-pre - sequential no-pre,0.008,0.0,0,coverage_fraction,4,0.0,-0.0002504139025193419,0.0
paper-style no-pre - sequential no-pre,0.008,0.0,0,distortion_psnr,4,-17.351062755444357,-21.446753025029082,-16.96810236558956
paper-style no-pre - sequential no-pre,0.008,0.0,0,distortion_ssim,4,-0.0014990466634536292,-0.0027989464369253536,-0.0009469619354407488
paper-style no-pre - sequential no-pre,0.008,0.0,0,distortion_ncc,4,-0.00026577166645169736,-0.0006354435825318694,-0.00021840623720337238
paper-style no-pre - sequential no-pre,0.008,0.0,0,distortion_mse,4,17973.91969029611,10492.693502575954,44628.61737206332
paper-style no-pre - sequential no-pre,0.008,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
paper-style no-pre - sequential no-pre,0.008,0.0,0,time_s,4,601.23,394.96999999999997,739.26
paper-style no-pre - sequential no-pre,0.008,0.0,0,iterations,4,24.0,24.0,24.0
paper-style no-pre - sequential no-pre,0.008,0.0,10,k1_err,8,0.0017202577471688149,0.0011850641227526067,0.0020332239648635712
paper-style no-pre - sequential no-pre,0.008,0.0,10,k1_signed,8,-0.003642598122455229,-0.004253407718953998,-0.0019127553294643737
paper-style no-pre - sequential no-pre,0.008,0.0,10,pos_rmse,8,3.6937123148280304,2.7664910523877184,4.04418957712673
paper-style no-pre - sequential no-pre,0.008,0.0,10,pos_mae,8,2.111111111111111,1.638888888888889,2.3055555555555554
paper-style no-pre - sequential no-pre,0.008,0.0,10,pos_max,8,4.5,3.5,5.0
paper-style no-pre - sequential no-pre,0.008,0.0,10,seam_true,8,0.0014029209752093996,0.0009549109188659507,0.0019450121491403106
paper-style no-pre - sequential no-pre,0.008,0.0,10,seam_est,8,0.0009981736099233147,0.0007665151788318235,0.0012260589229888363
paper-style no-pre - sequential no-pre,0.008,0.0,10,psnr,8,-6.486514017706504,-8.021547544982734,-3.66943603439233
paper-style no-pre - sequential no-pre,0.008,0.0,10,ssim,8,-0.007691181385965418,-0.009611142247371807,-0.005396675045991117
paper-style no-pre - sequential no-pre,0.008,0.0,10,ncc,8,-0.005248308046564398,-0.008438995273648942,-0.0044511496835972775
paper-style no-pre - sequential no-pre,0.008,0.0,10,mse,8,322752.24285212276,226767.91570353255,572180.9492621508
paper-style no-pre - sequential no-pre,0.008,0.0,10,coverage_fraction,8,0.0005717064527345772,0.0,0.002149529912660264
paper-style no-pre - sequential no-pre,0.008,0.0,10,distortion_psnr,8,-6.9372943854723985,-8.99548927340965,-4.583633022036501
paper-style no-pre - sequential no-pre,0.008,0.0,10,distortion_ssim,8,-0.0009234484758782191,-0.0011679525255478551,-0.0004829842883980473
paper-style no-pre - sequential no-pre,0.008,0.0,10,distortion_ncc,8,-0.00014002627198667073,-0.0002653295367275321,-0.0001125875547812738
paper-style no-pre - sequential no-pre,0.008,0.0,10,distortion_mse,8,9770.604713824941,6198.311449934634,18594.56577124748
paper-style no-pre - sequential no-pre,0.008,0.0,10,distortion_coverage_fraction,8,0.0,0.0,0.0
paper-style no-pre - sequential no-pre,0.008,0.0,10,time_s,8,738.0050000000001,393.99,761.6300000000001
paper-style no-pre - sequential no-pre,0.008,0.0,10,iterations,8,24.0,24.0,24.0
